#GENE	REF	Functionnal	Cryptic	Strand
ND8	max_circle	3521-3535	3425-3515	+
ND9	max_circle	3460-3485	3490-3560	-
MURF5	max_circle	3760-3785	3790-3810	-
ND7	max_circle	4810-4825	4720-4800	+
CO3	max_circle	5240-5260	5150-5232	+
CYB	max_circle	6358-6390	6295-6354	+
A6	max_circle	6760-6780	6670-6755	+
MURF1	max_circle	6706-6725	6735-6750	-
CR3	max_circle	8190-8195	8120-8185	+
ND1	max_circle	8135-8160 	8165-8190	-
CO2	max_circle	9760-9765	9700-9740	+
MURF2	max_circle	10820-10880	10740-10820	+
CO1	max_circle	10780-10790	10809-10910	-
CR4	max_circle	12440-12450	12465-12540	-
ND4	max_circle	14100-14120	14010-14090	+
ND3	max_circle	14040-14080	14090-14150	-
RPS12	max_circle	14495-14505	14435-14480	+
ND5	max_circle	16265-16300	16100-16220	+
RPS12	Tbrps12ed_100nt	323-333	1-322	+
ND9	Tbnd9ed_100nt	644-647	1-643	+
ND8	Tbnd8ed_100nt	573-587	1-572	+
ND7	Tbnd7ed_100nt	1243-1258	1-1242	+
ND3	Tbnd3ed_100nt	444-484	1-443	+
A6	Tba6ed_100nt	815-835	1-814	+
CR4	Tbcr4ed_100nt	563-573	1-562	+
CR3	Tbcr3ed_100nt	300-306	1-296	+
CO3	Tbco3ed_100nt	965-985	1-964	+
CO2	Tbco2ed_100nt	642-671	1-641	+
